13043,1355,2525,1145,491,403,169,325,247,297
2249,12114,573,1749,1642,543,252,334,354,190
1820,242,12807,1666,460,1441,475,443,357,289
921,1244,2031,9437,1926,1766,1369,558,374,374
384,771,546,1817,11690,704,1862,1470,423,333
247,261,1654,1574,558,11221,2132,611,1320,422
191,183,595,1283,1528,1956,9629,2154,1413,1068
231,144,554,454,1305,627,2272,12291,613,1509
214,168,473,377,405,1976,2089,825,11335,2138
295,117,424,470,333,588,1736,2259,1915,11863
